上传图片,框的位置,处理后的图片,flag,username,timestamp
flagged/上传图片/d39e6518fdc2893a2076/Zzz01cv.jpg,"100,100,300,300",flagged/处理后的图片/ba3c30cc80765dbc2499/image.webp,,,2024-08-15 19:02:15.814067
flagged/上传图片/3e0cf580aa14e0d7b1df/Zzz01cv.jpg,"100,100,300,300",flagged/处理后的图片/4573a827f8d5d578c898/image.webp,,,2024-08-15 19:02:17.474919
,"100,100,300,300",flagged/处理后的图片/40df3400ed8e27bc81ce/image.webp,,,2024-08-15 19:02:40.930478
